iter	Passed	Remaining
1417	13082	5369
1418	13090	5359
1419	13098	5350
1420	13105	5340
1421	13115	5331
1422	13124	5321
1423	13132	5312
1424	13139	5302
1425	13150	5293
1426	13159	5284
1427	13167	5274
1428	13175	5264
1429	13183	5254
1430	13191	5245
1431	13199	5235
1432	13208	5226
1433	13216	5216
1434	13224	5206
1435	13234	5197
1436	13242	5188
1437	13250	5178
1438	13259	5169
1439	13268	5160
1440	13276	5150
1441	13286	5141
1442	13295	5132
1443	13303	5122
1444	13312	5113
1445	13319	5103
1446	13327	5093
1447	13336	5084
1448	13344	5074
1449	13352	5064
1450	13359	5054
1451	13365	5044
1452	13373	5034
1453	13382	5025
1454	13392	5016
1455	13399	5006
1456	13406	4996
1457	13415	4987
1458	13425	4978
1459	13434	4968
1460	13442	4959
1461	13449	4949
1462	13457	4939
1463	13465	4929
1464	13472	4920
1465	13480	4910
1466	13490	4901
1467	13500	4892
1468	13508	4882
1469	13516	4873
1470	13524	4863
1471	13532	4854
1472	13540	4844
1473	13549	4835
1474	13559	4826
1475	13569	4817
1476	13576	4807
1477	13584	4797
1478	13596	4789
1479	13603	4779
1480	13610	4769
1481	13618	4760
1482	13628	4751
1483	13634	4740
1484	13641	4730
1485	13649	4721
1486	13657	4711
1487	13668	4703
1488	13674	4692
1489	13682	4683
1490	13689	4673
1491	13697	4663
1492	13703	4653
1493	13711	4643
1494	13721	4634
1495	13727	4624
1496	13734	4615
1497	13743	4605
1498	13750	4595
1499	13759	4586
1500	13768	4577
1501	13775	4567
1502	13783	4557
1503	13794	4549
1504	13803	4540
1505	13810	4530
1506	13819	4520
1507	13829	4512
1508	13837	4502
1509	13845	4492
1510	13852	4483
1511	13861	4473
1512	13868	4463
1513	13879	4455
1514	13886	4445
1515	13893	4435
1516	13896	4424
1517	13904	4415
1518	13912	4405
1519	13921	4396
1520	13929	4386
1521	13937	4377
1522	13944	4367
1523	13953	4358
1524	13960	4348
1525	13967	4338
1526	13974	4328
1527	13982	4319
1528	13988	4309
1529	13997	4299
1530	14005	4290
1531	14012	4280
1532	14021	4271
1533	14030	4262
1534	14038	4252
1535	14046	4243
1536	14054	4233
1537	14063	4224
1538	14072	4215
1539	14080	4205
1540	14088	4196
1541	14096	4186
1542	14103	4177
1543	14111	4167
1544	14120	4158
1545	14129	4149
1546	14137	4139
1547	14144	4129
1548	14149	4119
1549	14156	4110
1550	14163	4100
1551	14170	4090
1552	14180	4081
1553	14187	4071
1554	14195	4062
1555	14204	4053
1556	14213	4044
1557	14222	4034
1558	14231	4025
1559	14238	4016
1560	14247	4006
1561	14256	3997
1562	14264	3988
1563	14271	3978
1564	14281	3969
1565	14292	3960
1566	14300	3951
1567	14309	3942
1568	14318	3933
1569	14324	3923
1570	14332	3913
1571	14343	3905
1572	14351	3895
1573	14361	3886
1574	14369	3877
1575	14376	3867
1576	14383	3858
1577	14394	3849
1578	14404	3840
1579	14413	3831
1580	14422	3822
1581	14431	3813
1582	14439	3803
1583	14447	3794
1584	14453	3784
1585	14460	3774
1586	14467	3765
1587	14475	3755
1588	14484	3746
1589	14494	3737
1590	14504	3728
1591	14512	3719
1592	14520	3709
1593	14528	3700
1594	14535	3690
1595	14544	3681
1596	14552	3672
1597	14558	3662
1598	14567	3653
1599	14573	3643
1600	14582	3634
1601	14592	3625
1602	14599	3615
1603	14607	3606
1604	14617	3597
1605	14625	3588
1606	14633	3578
1607	14640	3569
1608	14650	3560
1609	14657	3550
1610	14664	3541
1611	14672	3531
1612	14681	3522
1613	14690	3513
1614	14698	3503
1615	14705	3494
1616	14712	3484
1617	14720	3475
1618	14728	3465
1619	14735	3456
1620	14743	3447
1621	14752	3437
1622	14760	3428
1623	14768	3419
1624	14776	3409
1625	14786	3401
1626	14793	3391
1627	14801	3382
1628	14808	3372
1629	14815	3363
1630	14824	3354
1631	14831	3344
1632	14835	3334
1633	14843	3324
1634	14850	3315
1635	14858	3305
1636	14865	3296
1637	14873	3287
1638	14879	3277
1639	14887	3268
1640	14894	3258
1641	14900	3248
1642	14909	3239
1643	14916	3230
1644	14923	3220
1645	14932	3211
1646	14940	3202
1647	14949	3193
1648	14956	3183
1649	14965	3174
1650	14972	3165
1651	14981	3155
1652	14987	3146
1653	14995	3136
1654	15001	3127
1655	15010	3118
1656	15018	3108
1657	15026	3099
1658	15034	3090
1659	15041	3080
1660	15048	3071
1661	15058	3062
1662	15067	3053
1663	15074	3043
1664	15084	3035
1665	15093	3026
1666	15101	3016
1667	15109	3007
